x,y,key,name
1,0,AK,Alaska
12,0,ME,Maine
11,1,VT,Vermont
12,1,NH,New Hampshire
4,2,ND,North Dakota
5,2,MN,Minnesota
9,2,NY,New York
10,2,NJ,New Jersey
11,2,MA,Massachusetts
12,2,RI,Rhode Island
1,3,WA,Washington
2,3,ID,Idaho
3,3,MT,Montana
4,3,SD,South Dakota
5,3,IA,Iowa
6,3,WI,Wisconsin
7,3,MI,Michigan
9,3,PA,Pennsylvania
10,3,DE,Delaware
11,3,CT,Connecticut
1,4,OR,Oregon
2,4,NV,Nevada
3,4,WY,Wyoming
4,4,NE,Nebraska
5,4,MO,Missouri
6,4,IL,Illinois
7,4,IN,Indiana
8,4,OH,Ohio
9,4,VA,Virginia
10,4,DC,District of Columbia
11,4,MD,Maryland
1,5,CA,California
2,5,UT,Utah
3,5,CO,Colorado
4,5,KS,Kansas
5,5,AR,Arkansas
6,5,TN,Tennessee
7,5,KY,Kentucky
8,5,WV,West Virginia
9,5,NC,North Carolina
2,6,,
3,6,NM,New Mexico
4,6,OK,Oklahoma
5,6,LA,Louisiana
6,6,MS,Mississippi
7,6,AL,Alabama
8,6,GA,Georgia
9,6,SC,South Carolina
0,7,HI,Hawaii
4,7,TX,Texas
8,7,FL,Florida
