x,y,key,name
10,0,ME,Maine
5,1,WI,Wisconsin
9,1,VT,Vermont
10,1,NH,New Hampshire
0,2,WA,Washington
1,2,ID,Idaho
2,2,MT,Montana
3,2,ND,North Dakota
4,2,MN,Minnesota
5,2,IL,Illinois
6,2,MI,Michigan
8,2,NY,New York
9,2,MA,Massachusetts
0,3,OR,Oregon
1,3,NV,Nevada
2,3,WY,Wyoming
3,3,SD,South Dakota
4,3,IA,Iowa
5,3,IN,Indiana
6,3,OH,Ohio
7,3,PA,Pennsylvania
8,3,NJ,New Jersey
9,3,CT,Connecticut
10,3,RI,Rhode Island
0,4,CA,California
1,4,UT,Utah
2,4,CO,Colorado
3,4,NE,Nebraska
4,4,MO,Missouri
5,4,KY,Kentucky
6,4,WV,West Virginia
7,4,VA,Virginia
8,4,MD,Maryland
9,4,DE,Delaware
1,5,AZ,Arizona
2,5,NM,New Mexico
3,5,KS,Kansas
4,5,AR,Arkansas
5,5,TN,Tennessee
6,5,NC,North Carolina
7,5,SC,South Carolina
3,6,OK,Oklahoma
4,6,LA,Louisiana
5,6,MS,Mississippi
6,6,AL,Alabama
7,6,GA,Georgia
0,7,HI,Hawaii
1,7,AK,Alaska
3,7,TX,Texas
8,7,FL,Florida
