x,y,key,name
0,0,AK,Alaska
11,0,ME,Maine
10,1,VT,Vermont
11,1,NH,New Hampshire
1,2,WA,Washington
2,2,ID,Idaho
3,2,MT,Montana
4,2,ND,North Dakota
5,2,MN,Minnesota
6,2,IL,Illinois
7,2,WI,Wisconsin
8,2,MI,Michigan
9,2,NY,New York
10,2,RI,Rhode Island
11,2,MA,Massachusetts
1,3,OR,Oregon
2,3,NV,Nevada
3,3,WY,Wyoming
4,3,SD,South Dakota
5,3,IA,Iowa
6,3,IN,Indiana
7,3,OH,Ohio
8,3,PA,Pennsylvania
9,3,NJ,New Jersey
10,3,CT,Connecticut
1,4,CA,California
2,4,UT,Utah
3,4,CO,Colorado
4,4,NE,Nebraska
5,4,MO,Missouri
6,4,KY,Kentucky
7,4,WV,West Virginia
8,4,VA,Virginia
9,4,MD,Maryland
10,4,DE,Delaware
2,5,AZ,Arizona
3,5,NM,New Mexico
4,5,KS,Kansas
5,5,AR,Arkansas
6,5,TN,Tennessee
7,5,NC,North Carolina
8,5,SC,South Carolina
9,5,DC,District of Columbia
4,6,OK,Oklahoma
5,6,LA,Louisiana
6,6,MS,Mississippi
7,6,AL,Alabama
8,6,GA,Georgia
0,7,HI,Hawaii
4,7,TX,Texas
9,7,FL,Florida
